Name,DatabaseUnit_Id,DefaultUnit_Id,DatabaseUnitMultiplier_Id,DefaultUnitMultiplier_Id,Category
AquiferConstant,7,7,0,0,Reservoir
CGR,18,18,18,18,Reservoir
CondensateAPIGravity,64,64,0,0,Reservoir
ConnateWaterSaturation,80,79,0,0,Reservoir
DevelopedUltimateRecovery_Gas,89,89,4,4,Reservoir
DevelopedUltimateRecovery_Oil,91,91,2,0,Reservoir
Diffusivity,37,37,0,0,Reservoir
EncroachmentAngle,2,2,0,0,Reservoir
GOR,46,46,0,0,Reservoir
GasRate,45,45,25,25,Reservoir
GasResIdualFluIdSaturation,80,80,0,0,Reservoir
InitialGasInPlace,89,89,4,4,Reservoir
LiquIdRate,65,65,0,0,Reservoir
MaximumHorizontalStress,73,73,0,0,Reservoir
OilRate,65,65,0,0,Reservoir
OilResIdualFluIdSaturation,80,80,0,0,Reservoir
OriginalOilInPlace,91,91,2,2,Reservoir
OuterInnerRadiusRatio,79,79,0,0,Reservoir
Porosity,79,79,0,0,Reservoir
ReservoirCondensateToGasRatio,113,113,11,11,Reservoir
ReservoirDeviationAngle,2,2,0,0,Reservoir
ReservoirLength,32,32,0,0,Reservoir
ReservoirOuterRadius,36,36,0,0,Reservoir
ReservoirPermeability,67,67,35,35,Reservoir
ReservoirPressure,73,73,0,0,Reservoir
ReservoirRadius,32,32,0,0,Reservoir
ReservoirThickness,32,32,0,0,Reservoir
ReservoirWidth,32,32,0,0,Reservoir
RockCompressibility,21,21,0,0,Reservoir
SeparatorCondensateToGasRatio,113,113,11,11,Reservoir
SeparatorPressure,73,73,0,0,Reservoir
UltimateRecovery_Gas,89,89,4,4,Reservoir
UltimateRecovery_Oil,91,91,2,0,Reservoir
WGR,18,18,18,18,Reservoir
WaterCut,80,80,0,0,Component
WaterRate,65,65,0,0,Reservoir
WaterResIdualFluIdSaturation,80,80,0,0,Reservoir
WaterSalinity,85,85,0,0,Reservoir
Volume,82,82,0,0,Reservoir
